,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
0,Robbery,Jan,N,E,3130483.0,10102366.0,2015.0
1,Robbery,Jan,N,I,3124730.0,10090296.0,2015.0
2,Burglary,Jan,N,E,3135985.0,10117220.0,2015.0
3,Burglary,Jan,N,I,3129896.0,10096032.0,2015.0
4,Burglary,Jan,N,F,3110455.0,10039340.0,2015.0
5,Burglary,Jan,N,H,3122853.0,10060648.0,2015.0
6,Burglary,Jan,N,H,3117897.0,10063203.0,2015.0
7,Burglary,Jan,N,A,3125825.0,10127011.0,2015.0
8,Burglary,Jan,N,C,3131757.0,10075823.0,2015.0
9,Burglary,Jan,N,F,3117292.0,10045926.0,2015.0
10,Burglary,Jan,N,F,3110888.0,10048857.0,2015.0
11,Burglary,Jan,N,A,3112453.0,10119462.0,2015.0
12,Burglary,Jan,N,B,3114113.0,10101816.0,2015.0
13,Auto Theft,Jan,N,H,3120206.0,10054679.0,2015.0
14,Auto Theft,Jan,N,I,3126286.0,10095654.0,2015.0
15,Auto Theft,Jan,N,A,3118850.0,10119965.0,2015.0
16,Auto Theft,Jan,C,E,3125710.0,10102520.0,2015.0
17,Auto Theft,Jan,N,G,3118008.0,10071058.0,2015.0
18,Auto Theft,Jan,O,D,3113220.0,10054718.0,2015.0
19,Agg Assault,Jan,C,F,3111836.0,10050304.0,2015.0
20,Agg Assault,Jan,C,E,3142258.0,10119002.0,2015.0
21,Agg Assault,Jan,C,C,3129984.0,10072501.0,2015.0
22,Agg Assault,Jan,C,A,3126991.0,10123685.0,2015.0
23,Agg Assault,Jan,O,C,3123088.0,10069039.0,2015.0
24,Theft,Jan,C,G,3117101.0,10069986.0,2015.0
25,Theft,Jan,N,G,3113850.0,10070359.0,2015.0
26,Theft,Jan,N,AP,3138768.0,10047351.0,2015.0
27,Theft,Jan,N,H,3127258.0,10055405.0,2015.0
28,Theft,Jan,C,B,3127953.0,10083340.0,2015.0
29,Theft,Jan,C,D,3098835.0,10057306.0,2015.0
30,Theft,Jan,N,F,3088927.0,10036470.0,2015.0
31,Theft,Jan,C,F,3100641.0,10031851.0,2015.0
32,Theft,Jan,C,F,3106737.0,10041724.0,2015.0
33,Theft,Jan,N,H,3127258.0,10055405.0,2015.0
35,Theft,Jan,C,E,3134231.0,10124161.0,2015.0
36,Theft,Jan,C,A,3112956.0,10114736.0,2015.0
37,Theft,Jan,N,F,3102200.0,10045342.0,2015.0
38,Theft,Jan,N,B,3127953.0,10083340.0,2015.0
39,Theft,Jan,N,H,3143372.0,10050650.0,2015.0
40,Theft,Jan,N,A,3111615.0,10117716.0,2015.0
41,Theft,Jan,N,G,3115063.0,10071530.0,2015.0
42,Theft,Jan,N,E,3131586.0,10110544.0,2015.0
43,Theft,Jan,N,F,3083887.0,10040667.0,2015.0
