,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
0,Agg Assault,Jan,C,D,3067322.0,10062796.0,2016.0
1,Theft,Jan,C,G,3114957.0,10070462.0,2016.0
2,Robbery,Jan,N,E,3129181.0,10106923.0,2016.0
3,Theft,Jan,N,G,3113643.0,10070357.0,2016.0
5,Agg Assault,Jan,N,C,3146947.0,10077985.0,2016.0
6,Robbery,Jan,N,H,3118667.0,10060221.0,2016.0
7,Agg Assault,Jan,C,H,3122230.0,10059265.0,2016.0
8,Agg Assault,Jan,C,D,3099793.0,10058337.0,2016.0
9,Burglary,Jan,N,F,3095553.0,10035959.0,2016.0
10,Burglary,Jan,C,E,3121931.0,10106738.0,2016.0
11,Auto Theft,Jan,N,E,3133869.0,10103524.0,2016.0
12,Auto Theft,Jan,N,F,3111632.0,10050167.0,2016.0
13,Agg Assault,Jan,N,F,3115830.0,10042476.0,2016.0
14,Burglary,Jan,N,F,3102916.0,10023485.0,2016.0
15,Burglary,Jan,N,F,3085304.0,10039671.0,2016.0
16,Agg Assault,Jan,N,H,3113907.0,10059041.0,2016.0
17,Agg Assault,Jan,N,I,3116795.0,10092335.0,2016.0
19,Burglary,Jan,C,A,3114668.0,10121066.0,2016.0
20,Burglary,Jan,N,D,3110158.0,10060953.0,2016.0
21,Burglary,Jan,N,B,3126322.0,10080484.0,2016.0
22,Burglary,Jan,N,G,3115326.0,10070387.0,2016.0
24,Burglary,Jan,N,F,3097863.0,10045181.0,2016.0
25,Burglary,Jan,N,F,3098369.0,10028961.0,2016.0
26,Burglary,Jan,N,H,3129173.0,10059178.0,2016.0
27,Burglary,Jan,N,D,3086212.0,10058406.0,2016.0
28,Theft,Jan,N,G,3115057.0,10071995.0,2016.0
29,Theft,Jan,N,A,3118197.0,10118869.0,2016.0
30,Theft,Jan,N,F,3118931.0,10051193.0,2016.0
31,Theft,Jan,C,F,3100423.0,10033116.0,2016.0
32,Auto Theft,Jan,C,F,3116496.0,10043740.0,2016.0
33,Burglary,Jan,N,D,3103835.0,10049115.0,2016.0
34,Theft,Jan,C,B,3121345.0,10082705.0,2016.0
35,Theft,Jan,C,F,3099459.0,10032098.0,2016.0
36,Theft,Jan,N,F,3100423.0,10033116.0,2016.0
37,Burglary,Jan,N,F,3112534.0,10034514.0,2016.0
38,Auto Theft,Jan,N,I,3120451.0,10093970.0,2016.0
39,Agg Assault,Jan,C,I,3128790.0,10092240.0,2016.0
40,Burglary,Jan,N,I,3134623.0,10092808.0,2016.0
41,Theft,Jan,C,G,3115019.0,10070660.0,2016.0
42,Theft,Jan,C,F,3100423.0,10033116.0,2016.0
43,Agg Assault,Jan,C,B,3109999.0,10101357.0,2016.0
44,Auto Theft,Jan,C,I,3129456.0,10087425.0,2016.0
45,Theft,Jan,C,I,3129997.0,10096983.0,2016.0
46,Theft,Jan,N,A,3127301.0,10121525.0,2016.0
47,Theft,Jan,N,I,3126104.0,10087499.0,2016.0
48,Theft,Jan,N,G,3113692.0,10070194.0,2016.0
49,Theft,Jan,N,E,3127447.0,10098323.0,2016.0
50,Theft,Jan,N,G,3115566.0,10070504.0,2016.0
51,Theft,Jan,N,D,3107452.0,10057904.0,2016.0
52,Theft,Jan,N,G,3115514.0,10067885.0,2016.0
53,Theft,Jan,N,I,3126342.0,10089763.0,2016.0
54,Theft,Jan,N,I,3131316.0,10090270.0,2016.0
55,Theft,Jan,N,F,3092400.0,10030140.0,2016.0
56,Theft,Jan,N,A,3120548.0,10121510.0,2016.0
57,Theft,Jan,N,E,3133636.0,10122509.0,2016.0
58,Theft,Jan,N,F,3099540.0,10031306.0,2016.0
59,Theft,Jan,N,E,3128794.0,10100195.0,2016.0
61,Theft,Jan,N,H,3113416.0,10066258.0,2016.0
62,Theft,Jan,N,G,3119041.0,10068828.0,2016.0
63,Theft,Jan,N,G,3117723.0,10070838.0,2016.0
64,Theft,Jan,N,G,3112113.0,10070173.0,2016.0
65,Theft,Jan,N,B,3121345.0,10082705.0,2016.0
66,Theft,Jan,N,I,3128221.0,10093769.0,2016.0
67,Theft,Jan,N,I,3126582.0,10096813.0,2016.0
68,Theft,Jan,N,C,3121812.0,10081368.0,2016.0
69,Theft,Jan,N,G,3117459.0,10070829.0,2016.0
70,Theft,Jan,N,B,3121345.0,10082705.0,2016.0
71,Theft,Jan,N,B,3112027.0,10078868.0,2016.0
72,Theft,Jan,N,H,3122711.0,10061235.0,2016.0
73,Theft,Jan,N,D,3088235.0,10057797.0,2016.0
74,Theft,Jan,N,C,3121874.0,10071490.0,2016.0
75,Theft,Jan,N,B,3117499.0,10104627.0,2016.0
77,Theft,Jan,N,G,3115440.0,10070324.0,2016.0
78,Theft,Jan,N,G,3115803.0,10069188.0,2016.0
79,Theft,Jan,N,G,3115831.0,10071792.0,2016.0
80,Theft,Jan,N,C,3122058.0,10078979.0,2016.0
81,Agg Assault,Jan,N,C,3134593.0,10073739.0,2016.0
82,Robbery,Jan,N,I,3125225.0,10095176.0,2016.0
83,Robbery,Jan,N,I,3123432.0,10095920.0,2016.0
84,Theft,Jan,C,D,3100814.0,10049567.0,2016.0
85,Robbery,Jan,N,I,3122845.0,10096511.0,2016.0
87,Theft,Jan,C,E,3127504.0,10105925.0,2016.0
88,Theft,Jan,C,E,3126402.0,10098769.0,2016.0
